,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-15.44,242,02 Jan 2020,30 Dec 2020,5463025649000,587168900,443310,12--,2020
1,ABBA,-22.64,242,02 Jan 2020,30 Dec 2020,326135374000,4312009200,187710,95--,2020
2,ABDA,-20.07,242,02 Jan 2020,30 Dec 2020,234942500,38000,131,84--,2020
3,ABMM,-50.33,242,02 Jan 2020,30 Dec 2020,12318741000,14272000,4512,98--,2020
4,ACES,14.72,242,02 Jan 2020,30 Dec 2020,5952628629000,3889278100,999667,93--,2020
5,ACST,-54.64,242,02 Jan 2020,30 Dec 2020,3673725342200,13423450900,649218,62--,2020
6,ADES,39.71,242,02 Jan 2020,30 Dec 2020,29381501500,25789900,16978,51--,2020
7,ADHI,30.64,242,02 Jan 2020,30 Dec 2020,5893607404200,6695517800,719296,62--,2020
8,ADMF,-13.7,242,02 Jan 2020,30 Dec 2020,425255370000,53711400,63056,82--,2020
9,ADMG,25.81,242,02 Jan 2020,30 Dec 2020,161278935000,992418600,83722,34--,2020
10,ADRO,-8.04,242,02 Jan 2020,30 Dec 2020,23703466636000,19553388900,2126333,21--,2020
11,AGAR,0.51,242,02 Jan 2020,30 Dec 2020,11089470700,26164400,3858,91--,2020
12,AGII,29.5,242,02 Jan 2020,30 Dec 2020,123373793900,185006200,36676,34--,2020
13,AGRO,422.73,242,02 Jan 2020,30 Dec 2020,9518235148100,21382921900,1256728,81--,2020
14,AGRS,51.11,242,02 Jan 2020,30 Dec 2020,3490684000,22778300,7388,81--,2020
15,AHAP,16.67,242,02 Jan 2020,30 Dec 2020,5104996500,83113100,13071,84--,2020
16,AIMS,-17.78,242,02 Jan 2020,30 Dec 2020,134561400,877100,922,91--,2020
17,AISA,132.14,242,02 Jan 2020,30 Dec 2020,2726000468500,10099947500,480172,51--,2020
18,AKKU,0,242,02 Jan 2020,30 Dec 2020,125310000,2506200,606,94--,2020
19,AKPI,50,242,02 Jan 2020,30 Dec 2020,892096500,2741000,1308,35--,2020
20,AKRA,-19.49,242,02 Jan 2020,30 Dec 2020,12904394515500,4701570800,681214,91--,2020
21,AKSI,-63.84,242,02 Jan 2020,30 Dec 2020,14903452600,49673600,14755,74--,2020
22,ALDO,33.18,242,02 Jan 2020,30 Dec 2020,4885939300,11826400,1654,38--,2020
23,ALKA,-37.32,242,02 Jan 2020,30 Dec 2020,510071200,1826200,1750,33--,2020
24,ALMI,-30.73,242,02 Jan 2020,30 Dec 2020,1347183300,5762600,2101,33--,2020
25,ALTO,-22.61,242,02 Jan 2020,30 Dec 2020,173488225800,443521000,1887,51--,2020
26,AMAG,-23.65,242,02 Jan 2020,30 Dec 2020,17950714400,71555000,10928,84--,2020
27,AMFG,-21.28,242,02 Jan 2020,30 Dec 2020,13456805000,4890900,1890,32--,2020
28,AMIN,-17.95,242,02 Jan 2020,30 Dec 2020,675016000,2053100,1637,41--,2020
29,AMRT,-9.09,242,02 Jan 2020,30 Dec 2020,159416360500,205778400,44369,93--,2020
30,ANDI,6,242,02 Jan 2020,30 Dec 2020,213137743300,3636672000,103478,12--,2020
31,ANJT,-26.5,242,02 Jan 2020,30 Dec 2020,2799375800,4185500,2511,12--,2020
32,ANTM,130.36,242,02 Jan 2020,30 Dec 2020,48747891025400,45067421400,3217336,23--,2020
33,APEX,18.5,242,02 Jan 2020,30 Dec 2020,6397655700,26337900,9634,22--,2020
34,APIC,13.77,242,02 Jan 2020,30 Dec 2020,3245440780000,3850075400,406738,89--,2020
35,APII,-16.3,242,02 Jan 2020,30 Dec 2020,2063713200,11625700,2952,91--,2020
36,APLI,10.61,242,02 Jan 2020,30 Dec 2020,2111535100,14232500,2966,35--,2020
37,APLN,6.21,242,02 Jan 2020,30 Dec 2020,2395944529700,15714150900,541814,61--,2020
38,APOL,0,66,02 Jan 2020,03 Apr 2020,0,0,0,,2020
39,ARGO,136.97,242,02 Jan 2020,30 Dec 2020,1183111500,632800,1045,43--,2020
40,ARII,-43.83,242,02 Jan 2020,30 Dec 2020,3289763800,7131700,2051,21--,2020
41,ARKA,-97.37,242,02 Jan 2020,30 Dec 2020,165737948900,939255500,138091,41--,2020
42,ARMY,0,242,02 Jan 2020,30 Dec 2020,0,0,0,61--,2020
43,ARNA,55.96,242,02 Jan 2020,30 Dec 2020,219972450100,469620800,32324,32--,2020
44,ARTA,-43.11,242,02 Jan 2020,30 Dec 2020,137121800,425000,657,94--,2020
45,ARTI,0,242,02 Jan 2020,30 Dec 2020,75895000,1517900,388,22--,2020
