,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
0,AALI,18.39,18.39,22,02 Jan 2019,31 Jan 2019,330315522500,25159000,23548,,2019,01
1,ABBA,14.58,14.58,22,02 Jan 2019,31 Jan 2019,56317359400,529861100,28408,,2019,01
2,ABDA,-34.05,-34.05,22,02 Jan 2019,31 Jan 2019,31340000,7400,18,,2019,01
3,ABMM,-1.32,-1.32,22,02 Jan 2019,31 Jan 2019,11825000,5300,5,,2019,01
4,ACES,14.09,14.09,22,02 Jan 2019,31 Jan 2019,502112731000,293577000,62508,,2019,01
5,ACST,0.96,0.96,22,02 Jan 2019,31 Jan 2019,9564288500,6130500,2757,,2019,01
6,ADES,16.3,16.3,22,02 Jan 2019,31 Jan 2019,4339182000,4029900,2438,,2019,01
7,ADHI,2.84,2.84,22,02 Jan 2019,31 Jan 2019,521153318000,303161000,54733,,2019,01
8,ADMF,7.69,7.69,22,02 Jan 2019,31 Jan 2019,48422435000,5235200,1582,,2019,01
9,ADMG,10.19,10.19,22,02 Jan 2019,31 Jan 2019,17042400800,50813500,5308,,2019,01
10,ADRO,14.4,14.4,22,02 Jan 2019,31 Jan 2019,2705167787000,1930010500,169027,,2019,01
11,AGII,-5.88,-5.88,22,02 Jan 2019,31 Jan 2019,6807720000,10466500,1966,,2019,01
12,AGRO,9.03,9.03,22,02 Jan 2019,31 Jan 2019,41691298600,125498400,16667,,2019,01
13,AGRS,68.91,68.91,22,02 Jan 2019,31 Jan 2019,3731446300,8170800,3038,,2019,01
14,AHAP,-18.82,-18.82,22,02 Jan 2019,31 Jan 2019,97131800,1415400,442,,2019,01
15,AIMS,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
16,AISA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
17,AKKU,0.0,0.0,22,02 Jan 2019,31 Jan 2019,73125000,1462500,83,,2019,01
18,AKPI,-4.0,-4.0,22,02 Jan 2019,31 Jan 2019,33550500,47200,78,,2019,01
19,AKRA,22.38,22.38,22,02 Jan 2019,31 Jan 2019,845196781500,181825300,53286,,2019,01
20,AKSI,-2.03,-2.03,22,02 Jan 2019,31 Jan 2019,62377000,175900,227,,2019,01
21,ALDO,0.0,0.0,22,02 Jan 2019,31 Jan 2019,18717000,28000,33,,2019,01
22,ALKA,24.67,24.67,22,02 Jan 2019,31 Jan 2019,250972800,695200,263,,2019,01
23,ALMI,37.5,37.5,22,02 Jan 2019,31 Jan 2019,3315370000,6806500,843,,2019,01
24,ALTO,-5.0,-5.0,22,02 Jan 2019,31 Jan 2019,199861200,530000,199,,2019,01
25,AMAG,-4.91,-4.91,22,02 Jan 2019,31 Jan 2019,9090600,29900,24,,2019,01
26,AMFG,24.12,24.12,22,02 Jan 2019,31 Jan 2019,3448910000,856300,259,,2019,01
27,AMIN,6.54,6.54,22,02 Jan 2019,31 Jan 2019,1085575400,2449900,408,,2019,01
28,AMRT,-13.9,-13.9,22,02 Jan 2019,31 Jan 2019,7009622500,8310400,2269,,2019,01
29,ANDI,-4.75,-4.75,22,02 Jan 2019,31 Jan 2019,45249853500,19408200,8844,,2019,01
30,ANJT,-8.7,-8.7,22,02 Jan 2019,31 Jan 2019,3997521500,3530500,498,,2019,01
31,ANTM,26.14,26.14,22,02 Jan 2019,31 Jan 2019,2166618164500,2518089500,140808,,2019,01
32,APEX,-38.39,-38.39,22,02 Jan 2019,31 Jan 2019,116990000,93300,205,,2019,01
33,APIC,-1.85,-1.85,22,02 Jan 2019,31 Jan 2019,48728745500,91400800,13400,,2019,01
34,APII,-2.15,-2.15,22,02 Jan 2019,31 Jan 2019,74827100,433700,473,,2019,01
35,APLI,11.9,11.9,22,02 Jan 2019,31 Jan 2019,97703300,1059500,370,,2019,01
36,APLN,25.0,25.0,22,02 Jan 2019,31 Jan 2019,72995976500,412374200,21198,,2019,01
37,APOL,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
38,ARGO,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
39,ARII,11.11,11.11,22,02 Jan 2019,31 Jan 2019,752257000,819100,210,,2019,01
40,ARMY,-10.69,-10.69,22,02 Jan 2019,31 Jan 2019,62913272600,214344100,953,,2019,01
41,ARNA,12.86,12.86,22,02 Jan 2019,31 Jan 2019,9987245000,23569200,2353,,2019,01
42,ARTA,-12.6,-12.6,22,02 Jan 2019,31 Jan 2019,211395500,209100,436,,2019,01
43,ARTI,0.0,0.0,22,02 Jan 2019,31 Jan 2019,279780000,5595600,3747,,2019,01
44,ARTO,-9.24,-9.24,22,02 Jan 2019,31 Jan 2019,1051152700,5880400,691,,2019,01
45,ASBI,13.6,13.6,22,02 Jan 2019,31 Jan 2019,1434800,5000,22,,2019,01
46,ASDM,-9.44,-9.44,22,02 Jan 2019,31 Jan 2019,12217500,11500,20,,2019,01
47,ASGR,6.39,6.39,22,02 Jan 2019,31 Jan 2019,12277942000,9051700,1552,,2019,01
48,ASII,2.74,2.74,22,02 Jan 2019,31 Jan 2019,6897506715000,834903800,145722,,2019,01
49,ASJT,-19.44,-19.44,22,02 Jan 2019,31 Jan 2019,175095400,597900,379,,2019,01
50,ASMI,-2.14,-2.14,22,02 Jan 2019,31 Jan 2019,24298933500,35082300,1341,,2019,01
51,ASRI,14.1,14.1,22,02 Jan 2019,31 Jan 2019,123894361600,355541400,28179,,2019,01
52,ASRM,-8.51,-8.51,22,02 Jan 2019,31 Jan 2019,96203000,44100,89,,2019,01
53,ASSA,103.3,103.3,22,02 Jan 2019,31 Jan 2019,436562614700,819181700,25571,,2019,01
54,ATIC,-2.78,-2.78,22,02 Jan 2019,31 Jan 2019,127961000,152300,188,,2019,01
55,ATPK,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
56,AUTO,6.46,6.46,22,02 Jan 2019,31 Jan 2019,26762935000,16732000,5360,,2019,01
57,BABP,0.0,0.0,22,02 Jan 2019,31 Jan 2019,4271151700,84954000,11093,,2019,01
58,BACA,-1.33,-1.33,22,02 Jan 2019,31 Jan 2019,47907600,166800,79,,2019,01
59,BAJA,1.77,1.77,22,02 Jan 2019,31 Jan 2019,2685123900,22757100,2711,,2019,01
60,BALI,-6.09,-6.09,22,02 Jan 2019,31 Jan 2019,3402778500,2203700,941,,2019,01
61,BAPA,-1.83,-1.83,22,02 Jan 2019,31 Jan 2019,1651282800,15218400,4316,,2019,01
62,BATA,-5.83,-5.83,22,02 Jan 2019,31 Jan 2019,1029754500,1804600,656,,2019,01
63,BAYU,-4.39,-4.39,22,02 Jan 2019,31 Jan 2019,891706500,470300,360,,2019,01
64,BBCA,8.37,8.37,22,02 Jan 2019,31 Jan 2019,9968722490000,371824400,148214,,2019,01
65,BBHI,5.26,5.26,22,02 Jan 2019,31 Jan 2019,2449286600,13007400,2046,,2019,01
66,BBKP,33.82,33.82,22,02 Jan 2019,31 Jan 2019,141105152400,426655900,25700,,2019,01
67,BBLD,-3.81,-3.81,22,02 Jan 2019,31 Jan 2019,4878200,10800,24,,2019,01
68,BBMD,0.0,0.0,22,02 Jan 2019,31 Jan 2019,138000,100,1,,2019,01
69,BBNI,3.12,3.12,22,02 Jan 2019,31 Jan 2019,4492538915000,498008200,84977,,2019,01
70,BBNP,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
71,BBRI,5.19,5.19,22,02 Jan 2019,31 Jan 2019,10242515567000,2729471400,191800,,2019,01
72,BBRM,0.0,0.0,22,02 Jan 2019,31 Jan 2019,780695400,15278500,1037,,2019,01
73,BBTN,7.87,7.87,22,02 Jan 2019,31 Jan 2019,1599215780000,592598800,85142,,2019,01
74,BBYB,-5.63,-5.63,22,02 Jan 2019,31 Jan 2019,1646863800,6014200,727,,2019,01
75,BCAP,-1.32,-1.32,22,02 Jan 2019,31 Jan 2019,133478700,882000,264,,2019,01
76,BCIC,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
77,BCIP,8.99,8.99,22,02 Jan 2019,31 Jan 2019,29799434700,311910400,14085,,2019,01
78,BDMN,19.74,19.74,22,02 Jan 2019,31 Jan 2019,1817604415000,207406400,35987,,2019,01
79,BEKS,0.0,0.0,22,02 Jan 2019,31 Jan 2019,1040190000,20803800,1132,,2019,01
80,BELL,-1.67,-1.67,22,02 Jan 2019,31 Jan 2019,8271692000,34707000,835,,2019,01
81,BEST,25.96,25.96,22,02 Jan 2019,31 Jan 2019,122152592900,509405700,22630,,2019,01
82,BFIN,4.51,4.51,22,02 Jan 2019,31 Jan 2019,12018820000,17632300,1009,,2019,01
83,BGTG,15.85,15.85,22,02 Jan 2019,31 Jan 2019,86226551000,875768600,36351,,2019,01
84,BHIT,34.48,34.48,22,02 Jan 2019,31 Jan 2019,67280617300,957425000,142380,,2019,01
85,BIKA,5.38,5.38,22,02 Jan 2019,31 Jan 2019,22620800,90400,201,,2019,01
86,BIMA,-3.57,-3.57,22,02 Jan 2019,31 Jan 2019,257616000,4640600,1308,,2019,01
87,BINA,-11.94,-11.94,22,02 Jan 2019,31 Jan 2019,6973832000,11922300,705,,2019,01
88,BIPI,0.0,0.0,22,02 Jan 2019,31 Jan 2019,35221023200,683161100,15329,,2019,01
89,BIPP,-5.68,-5.68,22,02 Jan 2019,31 Jan 2019,142233200,1780400,276,,2019,01
90,BIRD,-6.62,-6.62,22,02 Jan 2019,31 Jan 2019,16110276000,5936000,2359,,2019,01
91,BISI,-14.33,-14.33,22,02 Jan 2019,31 Jan 2019,4864511500,3304000,1257,,2019,01
92,BJBR,13.66,13.66,22,02 Jan 2019,31 Jan 2019,589890890000,269898400,14188,,2019,01
93,BJTM,7.97,7.97,22,02 Jan 2019,31 Jan 2019,196399373000,272784900,20397,,2019,01
94,BKDP,3.28,3.28,22,02 Jan 2019,31 Jan 2019,100520100,1636700,292,,2019,01
95,BKSL,12.84,12.84,22,02 Jan 2019,31 Jan 2019,281720401400,2314283900,49353,,2019,01
96,BKSW,1.65,1.65,22,02 Jan 2019,31 Jan 2019,13575500,75900,61,,2019,01
97,BLTA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
98,BLTZ,5.74,5.74,22,02 Jan 2019,31 Jan 2019,27164000,5500,14,,2019,01
99,BMAS,-14.67,-14.67,22,02 Jan 2019,31 Jan 2019,270380200,823100,493,,2019,01
100,BMRI,1.02,1.02,22,02 Jan 2019,31 Jan 2019,9483058007500,1265532400,159266,,2019,01
101,BMSR,1.76,1.76,22,02 Jan 2019,31 Jan 2019,32471500,207100,174,,2019,01
102,BMTR,52.07,52.07,22,02 Jan 2019,31 Jan 2019,166035857000,526031000,34028,,2019,01
103,BNBA,10.07,10.07,22,02 Jan 2019,31 Jan 2019,4750678000,16017800,1441,,2019,01
104,BNBR,0.0,0.0,22,02 Jan 2019,31 Jan 2019,4496957000,89864400,4026,,2019,01
105,BNGA,20.77,20.77,22,02 Jan 2019,31 Jan 2019,322816393000,293809100,33277,,2019,01
106,BNII,19.42,19.42,22,02 Jan 2019,31 Jan 2019,13277459000,56373900,5168,,2019,01
107,BNLI,61.6,61.6,22,02 Jan 2019,31 Jan 2019,2097835825000,2330128500,62221,,2019,01
108,BOGA,-1.44,-1.44,22,02 Jan 2019,31 Jan 2019,56708910000,83564300,10079,,2019,01
109,BOLT,-3.09,-3.09,22,02 Jan 2019,31 Jan 2019,2495318000,2631000,2771,,2019,01
110,BORN,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
111,BOSS,-13.33,-13.33,22,02 Jan 2019,31 Jan 2019,70700438500,32965900,9741,,2019,01
112,BPFI,-7.69,-7.69,22,02 Jan 2019,31 Jan 2019,5940000,9600,9,,2019,01
113,BPII,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
114,BPTR,-8.14,-8.14,22,02 Jan 2019,31 Jan 2019,195673200,2510100,775,,2019,01
115,BRAM,0.41,0.41,22,02 Jan 2019,31 Jan 2019,7577500,1200,8,,2019,01
116,BRIS,6.67,6.67,22,02 Jan 2019,31 Jan 2019,103194238000,189046000,22423,,2019,01
117,BRMS,4.0,4.0,22,02 Jan 2019,31 Jan 2019,170760212100,3130722000,49134,,2019,01
118,BRNA,-2.5,-2.5,22,02 Jan 2019,31 Jan 2019,1217438000,1086900,78,,2019,01
119,BRPT,9.21,9.21,22,02 Jan 2019,31 Jan 2019,396001240000,163695500,33293,,2019,01
120,BSDE,5.98,5.98,22,02 Jan 2019,31 Jan 2019,724300521000,515795900,61727,,2019,01
121,BSIM,-0.91,-0.91,22,02 Jan 2019,31 Jan 2019,137886500,253800,190,,2019,01
122,BSSR,1.28,1.28,22,02 Jan 2019,31 Jan 2019,383912000,161500,250,,2019,01
123,BSWD,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
124,BTEK,-9.33,-9.33,22,02 Jan 2019,31 Jan 2019,23540300400,179769700,443,,2019,01
125,BTEL,0.0,0.0,22,02 Jan 2019,31 Jan 2019,1285000,25700,16,,2019,01
126,BTON,20.87,20.87,22,02 Jan 2019,31 Jan 2019,22523363400,82266600,11732,,2019,01
127,BTPN,10.17,10.17,22,02 Jan 2019,31 Jan 2019,18932656000,5003400,2752,,2019,01
128,BTPS,10.58,10.58,22,02 Jan 2019,31 Jan 2019,1876074174500,978609300,61794,,2019,01
129,BUDI,7.29,7.29,22,02 Jan 2019,31 Jan 2019,2178810100,21589700,1772,,2019,01
130,BUKK,7.37,7.37,22,02 Jan 2019,31 Jan 2019,4046414000,2084500,1019,,2019,01
131,BULL,12.82,12.82,22,02 Jan 2019,31 Jan 2019,59067028100,466653800,16274,,2019,01
132,BUMI,63.11,63.11,22,02 Jan 2019,31 Jan 2019,1857157982400,12049323900,147081,,2019,01
133,BUVA,-16.99,-16.99,22,02 Jan 2019,31 Jan 2019,57498295600,308582600,7502,,2019,01
134,BVIC,-10.53,-10.53,22,02 Jan 2019,31 Jan 2019,529257000,3051600,1076,,2019,01
135,BWPT,21.95,21.95,22,02 Jan 2019,31 Jan 2019,246165978300,1268793700,36327,,2019,01
136,BYAN,-4.4,-4.4,22,02 Jan 2019,31 Jan 2019,2814467500,154600,280,,2019,01
137,CAKK,5.32,5.32,22,02 Jan 2019,31 Jan 2019,7123038600,72399500,4800,,2019,01
138,CAMP,12.72,12.72,22,02 Jan 2019,31 Jan 2019,24451838600,65119800,3737,,2019,01
139,CANI,-28.41,-28.41,22,02 Jan 2019,31 Jan 2019,208338900,803500,670,,2019,01
140,CARS,-3.93,-3.93,22,02 Jan 2019,31 Jan 2019,149242612000,55689700,7768,,2019,01
141,CASA,-1.94,-1.94,22,02 Jan 2019,31 Jan 2019,5156694600,16808900,3529,,2019,01
142,CASS,-2.82,-2.82,22,02 Jan 2019,31 Jan 2019,968154500,1387800,78,,2019,01
143,CEKA,-23.64,-23.64,22,02 Jan 2019,31 Jan 2019,1378261000,1315700,797,,2019,01
144,CENT,5.81,5.81,22,02 Jan 2019,31 Jan 2019,22284274000,243727600,27348,,2019,01
145,CFIN,3.82,3.82,22,02 Jan 2019,31 Jan 2019,4003138600,12662300,1102,,2019,01
146,CINT,-4.93,-4.93,22,02 Jan 2019,31 Jan 2019,98666800,355700,277,,2019,01
147,CITA,-10.33,-10.33,22,02 Jan 2019,31 Jan 2019,376960500,218600,200,,2019,01
148,CITY,-7.54,-7.54,22,02 Jan 2019,31 Jan 2019,25744224800,68964200,2104,,2019,01
149,CKRA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
150,CLEO,-0.7,-0.7,22,02 Jan 2019,31 Jan 2019,100816740400,350289900,19886,,2019,01
151,CLPI,7.81,7.81,22,02 Jan 2019,31 Jan 2019,1494844000,2160000,636,,2019,01
152,CMNP,5.08,5.08,22,02 Jan 2019,31 Jan 2019,2869694000,2112300,1226,,2019,01
153,CMPP,17.31,17.31,22,02 Jan 2019,31 Jan 2019,8572945000,32164800,11039,,2019,01
154,CNKO,0.0,0.0,22,02 Jan 2019,31 Jan 2019,72405000,1448100,2502,,2019,01
155,CNTB,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
156,CNTX,-4.66,-4.66,22,02 Jan 2019,31 Jan 2019,38337400,84100,127,,2019,01
157,COWL,0.96,0.96,22,02 Jan 2019,31 Jan 2019,16678786200,40815000,2554,,2019,01
158,CPIN,2.42,2.42,22,02 Jan 2019,31 Jan 2019,1726473032500,220217300,103194,,2019,01
159,CPRO,0.0,0.0,22,02 Jan 2019,31 Jan 2019,851320000,17026400,8728,,2019,01
160,CSAP,0.92,0.92,22,02 Jan 2019,31 Jan 2019,3487507500,6401700,522,,2019,01
161,CSIS,43.67,43.67,22,02 Jan 2019,31 Jan 2019,35970692600,112455100,1154,,2019,01
162,CTBN,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
163,CTRA,-3.47,-3.47,22,02 Jan 2019,31 Jan 2019,1002873401500,1012539500,87798,,2019,01
164,CTTH,-5.04,-5.04,22,02 Jan 2019,31 Jan 2019,13310971600,113140900,7326,,2019,01
165,DART,28.1,28.1,22,02 Jan 2019,31 Jan 2019,224055600,702000,368,,2019,01
166,DAYA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,23956400,113100,37,,2019,01
167,DEAL,37.74,37.74,22,02 Jan 2019,31 Jan 2019,869278103000,1236191800,43684,,2019,01
168,DEFI,-8.79,-8.79,22,02 Jan 2019,31 Jan 2019,33760000,19500,63,,2019,01
169,DEWA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,567685000,11353700,415,,2019,01
170,DFAM,-5.68,-5.68,22,02 Jan 2019,31 Jan 2019,12296449000,14552500,8581,,2019,01
171,DGIK,0.0,0.0,22,02 Jan 2019,31 Jan 2019,164315000,3286300,177,,2019,01
172,DIGI,0.0,0.0,22,02 Jan 2019,31 Jan 2019,1336840000,757500,666,,2019,01
173,DILD,4.55,4.55,22,02 Jan 2019,31 Jan 2019,17063376600,51939000,4007,,2019,01
174,DIVA,-12.73,-12.73,22,02 Jan 2019,31 Jan 2019,132338960000,45192600,19788,,2019,01
175,DKFT,-13.07,-13.07,22,02 Jan 2019,31 Jan 2019,7580117600,25775700,2967,,2019,01
176,DLTA,8.64,8.64,22,02 Jan 2019,31 Jan 2019,5444577500,975800,321,,2019,01
177,DMAS,32.08,32.08,22,02 Jan 2019,31 Jan 2019,238553355000,1257609100,22794,,2019,01
178,DNAR,10.87,10.87,22,02 Jan 2019,31 Jan 2019,55923200,190400,89,,2019,01
179,DNET,-1.22,-1.22,22,02 Jan 2019,31 Jan 2019,287307000,87800,106,,2019,01
180,DOID,22.86,22.86,22,02 Jan 2019,31 Jan 2019,886731299500,1461627100,83269,,2019,01
181,DPNS,1.27,1.27,22,02 Jan 2019,31 Jan 2019,3706000,11700,44,,2019,01
182,DPUM,10.16,10.16,22,02 Jan 2019,31 Jan 2019,1037837900,7580700,1093,,2019,01
183,DSFI,0.99,0.99,22,02 Jan 2019,31 Jan 2019,3453441800,33187500,7883,,2019,01
184,DSNG,-2.44,-2.44,22,02 Jan 2019,31 Jan 2019,13753091800,35696600,1971,,2019,01
185,DSSA,12.59,12.59,22,02 Jan 2019,31 Jan 2019,78032500,5100,30,,2019,01
186,DUCK,-4.49,-4.49,22,02 Jan 2019,31 Jan 2019,22899822500,14505700,4630,,2019,01
187,DUTI,-0.46,-0.46,22,02 Jan 2019,31 Jan 2019,18906000,4900,8,,2019,01
188,DVLA,5.67,5.67,22,02 Jan 2019,31 Jan 2019,1182438500,600300,172,,2019,01
189,DWGL,8.33,8.33,22,02 Jan 2019,31 Jan 2019,639164600,7775600,2188,,2019,01
190,DYAN,9.09,9.09,22,02 Jan 2019,31 Jan 2019,15312884800,180701100,7127,,2019,01
191,ECII,-0.88,-0.88,22,02 Jan 2019,31 Jan 2019,132681500,118200,41,,2019,01
192,EKAD,1.75,1.75,22,02 Jan 2019,31 Jan 2019,4642270000,5403600,1337,,2019,01
193,ELSA,5.81,5.81,22,02 Jan 2019,31 Jan 2019,324476859600,893376600,45033,,2019,01
194,ELTY,0.0,0.0,22,02 Jan 2019,31 Jan 2019,34145000,682900,169,,2019,01
195,EMDE,-0.79,-0.79,22,02 Jan 2019,31 Jan 2019,245251800,974500,565,,2019,01
196,EMTK,3.57,3.57,22,02 Jan 2019,31 Jan 2019,137402500,15800,39,,2019,01
197,ENRG,58.0,58.0,22,02 Jan 2019,31 Jan 2019,264844199800,3455819600,63862,,2019,01
198,EPMT,-11.9,-11.9,22,02 Jan 2019,31 Jan 2019,1048083500,520600,243,,2019,01
199,ERAA,4.09,4.09,22,02 Jan 2019,31 Jan 2019,1878494097000,784711400,130271,,2019,01
200,ERTX,-3.23,-3.23,22,02 Jan 2019,31 Jan 2019,65949800,542600,138,,2019,01
201,ESSA,26.09,26.09,22,02 Jan 2019,31 Jan 2019,392207466000,1048599300,41918,,2019,01
202,ESTI,9.88,9.88,22,02 Jan 2019,31 Jan 2019,7203393300,78515500,22040,,2019,01
203,ETWA,-4.94,-4.94,22,02 Jan 2019,31 Jan 2019,32450300,403800,254,,2019,01
204,EXCL,9.6,9.6,22,02 Jan 2019,31 Jan 2019,1065324230000,485480000,70207,,2019,01
205,FAST,-10.18,-10.18,22,02 Jan 2019,31 Jan 2019,676349500,410800,90,,2019,01
206,FASW,-2.57,-2.57,22,02 Jan 2019,31 Jan 2019,23138165000,3042000,3162,,2019,01
207,FILM,2.21,2.21,22,02 Jan 2019,31 Jan 2019,52998196500,74283400,47362,,2019,01
208,FINN,12.0,12.0,22,02 Jan 2019,31 Jan 2019,67724605100,1115296500,31143,,2019,01
209,FIRE,-8.39,-8.39,22,02 Jan 2019,31 Jan 2019,342617385000,47935900,675,,2019,01
210,FISH,-31.03,-31.03,22,02 Jan 2019,31 Jan 2019,30459000,8500,43,,2019,01
211,FMII,0.0,0.0,22,02 Jan 2019,31 Jan 2019,350304000,500700,221,,2019,01
212,FORU,-7.27,-7.27,22,02 Jan 2019,31 Jan 2019,20115100,194800,135,,2019,01
213,FORZ,-2.72,-2.72,22,02 Jan 2019,31 Jan 2019,361502271500,411606100,3720,,2019,01
214,FPNI,2.5,2.5,22,02 Jan 2019,31 Jan 2019,9081417900,55360700,5014,,2019,01
215,FREN,88.46,88.46,22,02 Jan 2019,31 Jan 2019,415613512000,3801506500,78145,,2019,01
216,GAMA,-12.07,-12.07,22,02 Jan 2019,31 Jan 2019,881386800,17288200,1174,,2019,01
217,GDST,13.83,13.83,22,02 Jan 2019,31 Jan 2019,9297136300,85991300,9711,,2019,01
218,GDYR,15.98,15.98,22,02 Jan 2019,31 Jan 2019,61358000,30800,61,,2019,01
219,GEMA,0.63,0.63,22,02 Jan 2019,31 Jan 2019,1121421000,3372700,902,,2019,01
220,GEMS,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
221,GGRM,0.03,0.03,22,02 Jan 2019,31 Jan 2019,1688659802500,20297200,64446,,2019,01
222,GHON,-1.52,-1.52,22,02 Jan 2019,31 Jan 2019,8085089500,5992300,146,,2019,01
223,GIAA,52.35,52.35,22,02 Jan 2019,31 Jan 2019,384206219400,1050781500,47993,,2019,01
224,GJTL,23.08,23.08,22,02 Jan 2019,31 Jan 2019,234888112500,324030600,38336,,2019,01
