No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3PM10000D232------------,11350,0,01 Mar 2022,0,11800,11400,11775,425,5019600,58692342500,3183,956.6,11775,97700,11750,6600,1924688333,1924688333,1004302372,720700,2544400,0,0,0
2,ABBA,Mahaka Media Tbk.,XRU-2100000000E614------------,308,0,01 Mar 2022,0,326,302,306,-2,44386800,13775091200,3282,676.0,308,123500,306,43800,2900392031,2900392031,2177729519,2385700,5256600,1000,308000,1
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6600,0,01 Mar 2022,0,0,0,6600,0,0,0,0,1506.8,6950,200,6150,100,620806680,620806680,388004175,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1115000000C311------------,1755,0,01 Mar 2022,0,1865,1750,1840,85,5230500,9459640000,1401,49.1,1840,49800,1835,100000,2753165000,2753165000,1442383144,489300,701600,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMN6000E743------------,1070,0,01 Mar 2022,0,1110,1070,1110,40,42862500,46803145500,6094,1353.7,1110,615600,1105,30100,17150000000,17150000000,10962280000,23342500,14527000,4703000,5105134800,3
6,ACST,Acset Indonusa Tbk.,--U-1105000000J211------------,191,0,01 Mar 2022,0,194,190,191,0,2680000,513081100,385,14.1,192,227700,191,190900,12675160000,12675160000,6426306120,179900,25900,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1130000000H111------------,107,0,01 Mar 2022,0,106,100,100,-7,83775700,8442302300,6349,76.9,100,50151800,0,0,22222222200,22222222200,10222222200,0,0,100,11400,1
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,3790,0,01 Mar 2022,0,3900,3790,3860,70,123200,473902000,93,200.5,3860,11100,3840,700,589896800,589896800,265335581,0,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835K52000J211------------,760,0,01 Mar 2022,0,785,760,765,5,15540100,11947680500,3019,600.8,765,176200,760,2261500,3560849376,3560849376,2471229467,353300,353700,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-1115200000G211------------,7875,0,01 Mar 2022,0,7975,7875,7925,50,236900,1879350000,342,340.9,7925,1700,7900,600,1000000000,1000000000,447500000,3300,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,195,0,01 Mar 2022,0,200,188,190,-5,1856300,360812500,436,17.0,191,61500,190,100,3889179559,3889179559,1867972942,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2135000000A121------------,1250,0,01 Mar 2022,0,1390,1260,1285,35,220549800,291108152500,34367,1285.0,1285,284100,1280,14500,40882331500,40882331500,20317181500,32919100,16564000,0,0,0
13,ADRO,Adaro Energy Tbk.,--MO1XD0Q60000A121------------,2450,2560,01 Mar 2022,2560,2720,2500,2580,130,357287400,935518731000,38446,234.5,2590,190200,2580,515100,31985962000,31985962000,21184302633,68701900,96489500,3771817,9775554050,7
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,376,0,01 Mar 2022,0,378,352,374,-2,6500,2426600,27,340.0,372,4900,354,100,1000000000,1000000000,550100000,0,0,0,0,0
15,AGII,Aneka Gas Industri Tbk.,--M-1835F20000B111------------,1440,0,01 Mar 2022,0,1500,1445,1490,50,9235100,13694634500,2576,135.5,1490,7700,1485,76100,3066660000,3066660000,1565836596,505400,4111500,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1105000000G111------------,1400,0,01 Mar 2022,0,1485,1400,1450,50,50653000,73108963000,8227,2415.9,1455,221300,1450,376400,22520054593,22520054593,10917722467,6201600,5113500,0,0,0
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,148,0,01 Mar 2022,0,154,148,149,1,9374400,1407225000,853,185.0,150,689500,149,242100,17481603282,17481603282,7810780346,635600,1422800,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,66,0,01 Mar 2022,0,68,63,67,1,3007500,201192500,195,252.6,68,774300,67,5000,2940000000,2940000000,1495578000,0,0,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,356,0,01 Mar 2022,0,358,350,358,2,3133700,1115617600,688,286.4,358,60300,356,1000,220000000,220000000,111276000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,191,0,01 Mar 2022,0,195,187,190,-1,9384700,1786165200,1214,23.1,191,54000,190,84700,9311800000,9311800000,5757485940,13600,46200,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-2130000000E512------------,50,0,01 Mar 2022,0,50,50,50,0,900,45000,4,75.9,50,27324300,0,0,6449463636,6449463636,3577517479,0,0,6100,213500,1
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,1020,0,01 Mar 2022,0,1020,1000,1005,-15,20900,20935500,36,132.6,1005,6700,1000,7700,612248000,612248000,261001322,0,0,0,0,0
23,AKRA,AKR Corporindo Tbk.,--M-18GXM86000A112------------,755,0,01 Mar 2022,0,765,725,740,-15,80765600,60113558000,8916,2948.9,740,283900,735,637500,20073474600,20073474600,12533877540,44611600,32649700,17818,15575518,3
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,570,0,01 Mar 2022,0,595,555,565,-5,92500,53522000,121,282.5,565,7300,555,19100,720000000,720000000,322488000,0,0,0,0,0
25,ALDO,Alkindo Naratama Tbk.,--U-2135000000B131------------,1105,0,01 Mar 2022,0,1115,1075,1085,-20,4745800,5217215500,914,829.8,1085,82800,1080,43700,1316856020,1316856020,684798535,423200,45200,0,0,0
26,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,278,0,01 Mar 2022,0,294,278,290,12,11100,3201200,30,48.8,290,12600,288,1000,507665055,507665055,225910949,0,0,0,0,0
27,ALMI,Alumindo Light Metal Industry Tbk.,--U-2105000000B141-E----------,288,0,01 Mar 2022,0,298,288,298,10,2100,622600,8,45.8,298,2800,278,60000,3816000000,3816000000,1587236160,0,0,0,0,0
28,ALTO,Tri Banyan Tirta Tbk.,--U-1100000000D212------------,266,0,01 Mar 2022,0,260,248,248,-18,47300,11850400,22,123.9,248,164400,0,0,2191870558,2191870558,1170458878,0,8000,0,0,0
29,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,370,0,01 Mar 2022,0,370,366,370,0,21500,7936800,39,352.4,370,44600,368,100,5001552516,5001552516,2255200029,300,0,0,0,0
30,AMAN,Makmur Berkah Amanda Tbk.,--M-1135000000H111------------,525,0,01 Mar 2022,0,525,520,525,0,1013600,532014500,61,477.3,525,77700,520,86600,3873500000,3873500000,1822481750,0,0,0,0,0
31,AMAR,Bank Amar Indonesia Tbk.,--U-2105000000G111------------,350,0,01 Mar 2022,0,364,334,354,4,57844400,20177808200,6480,291.0,354,701100,352,326100,13740021000,13740021000,6204863316,4275300,9982800,0,0,0
32,AMFG,Asahimas Flat Glass Tbk.,--U-1105000000C121------------,4900,0,01 Mar 2022,0,5275,4910,5125,225,274200,1396574500,90,209.2,5125,50000,5075,2400,434000000,434000000,224464800,0,0,0,0,0
33,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-2130000000C143------------,170,0,01 Mar 2022,0,172,169,169,-1,178600,30454400,58,132.0,172,57500,169,37100,1080000000,1080000000,550800000,0,0,0,0,0
34,AMOR,Ashmore Asset Management Indonesia Tbk.,XDM-2105000000G311------------,1705,0,01 Mar 2022,0,1700,1650,1670,-35,6900,11604500,36,175.8,1670,300,1665,700,2222222400,2218538400,1014888970,1000,200,0,0,0
35,AMRT,Sumber Alfaria Trijaya Tbk.,--MO1U05906000D113------------,1090,1100,01 Mar 2022,1095,1115,1085,1090,0,8136600,8921196000,3730,2781.4,1090,23500,1085,588900,41524501700,41524501700,27995819046,2447500,3471400,0,0,0
36,ANDI,Andira Agro Tbk.,--U-2130000000D232------------,50,0,01 Mar 2022,0,50,50,50,0,210500,10525000,13,125.0,50,22802700,0,0,9350000000,9350000000,6012050000,0,0,0,0,0
37,ANJT,Austindo Nusantara Jaya Tbk.,--U-1135000000D232------------,1040,0,01 Mar 2022,0,1070,1035,1045,5,758500,793678000,146,87.1,1045,80000,1040,8600,3354175000,3354175000,1530174635,0,0,0,0,0
38,ANTM,Aneka Tambang Tbk.,--MO1XDPXC6000B146------------,2220,2240,01 Mar 2022,2240,2300,2230,2260,40,137694700,311194909000,19319,1490.1,2260,1129000,2250,563500,24030764725,24030764725,14634735718,30312600,57758700,1170555,2635137510,7
39,APEX,Apexindo Pratama Duta Tbk.,--U-2135000000A131------------,695,0,01 Mar 2022,0,755,695,700,5,122600,86833000,89,44.8,720,1000,700,200,2659850000,2659850000,1207837885,0,0,0,0,0
40,APIC,Pacific Strategic Financial Tbk.,--M-2105000000G511------------,1155,0,01 Mar 2022,0,1175,1155,1165,10,17212500,20093643500,1168,1239.2,1165,79900,1160,39000,11766313488,11766313488,9137719055,4100,2825700,0,0,0
41,APII,Arita Prima Indonesia Tbk.,--M-2130000000C143------------,193,0,01 Mar 2022,0,198,192,193,0,275100,53073600,55,87.7,194,500,193,2800,1075760000,1075760000,595002856,0,0,0,0,0
